ProductID,ProductName,Brand,Category,SupplierID,UnitCost,UnitPrice
64,Dell USB-C Dock WD19,Dell,Accessories,31,142.05,182
65,Lenovo ThinkPad E16,Lenovo,Electronics,54,519.68,652
66,Dell UltraSharp 27,Dell,Electronics,73,182.1,266
67,Epson EcoTank L3250,Epson,Printers,57,362.92,488
68,HP ProBook 450,HP,Electronics,42,613.29,953
69,Dell Latitude 7450,Dell,Electronics,77,533.71,712
70,Dell Latitude 7450,Dell,Electronics,1,867.81,1248
71,Kangaro HD-10 Stapler,Kangaro,Office Supplies,51,4.28,7
72,Samsung 990 PRO 1TB,Samsung,Storage,5,65.67,107
73,Dell Precision 3590,Dell,Electronics,42,663.29,1063
74,Camlin Whiteboard Marker,Camlin,Office Supplies,52,6.44,9
75,Dell Latitude 7450,Dell,Electronics,20,789.26,1079
76,Kingston NV2 1TB,Kingston,Storage,64,110.17,140
77,Lenovo ThinkPad T14,Lenovo,Electronics,50,583.89,894
78,HP ProBook 450,HP,Electronics,48,741.5,1118
79,Steelcase Series 1 Chair,Steelcase,Furniture,9,106.52,154
80,Kingston NV2 1TB,Kingston,Storage,5,55.19,78
81,Samsung 990 PRO 1TB,Samsung,Storage,23,73.16,93
82,Camlin Whiteboard Marker,Camlin,Office Supplies,17,6.07,9
83,Lenovo ThinkPad E16,Lenovo,Electronics,73,893.29,1206
84,Cisco Catalyst 9200,Cisco,Networking,6,867.74,1315
85,TP-Link TL-SG1024,TP-Link,Networking,14,297.07,455
86,Camlin Whiteboard Marker,Camlin,Office Supplies,17,17.77,25
87,Dell UltraSharp 27,Dell,Electronics,48,275.47,429
88,HP Series 5 Pro,HP,Electronics,42,342.14,444
89,Samsung 990 PRO 1TB,Samsung,Storage,59,96.85,124
90,Kangaro HD-10 Stapler,Kangaro,Office Supplies,4,2.91,4
91,JK Paper A4 Paper Box,JK Paper,Office Supplies,30,1.8,3
92,Steelcase Series 1 Chair,Steelcase,Furniture,15,378.88,476
93,Lenovo ThinkPad E16,Lenovo,Electronics,73,899.74,1214
94,Samsung 980 PRO 2TB,Samsung,Storage,2,54.12,88
95,Camlin Whiteboard Marker,Camlin,Office Supplies,58,4.25,6
96,JK Paper A4 Paper Box,JK Paper,Office Supplies,39,14.21,20
97,Logitech MX Keys S,Logitech,Accessories,16,23.16,35
98,Camlin Whiteboard Marker,Camlin,Office Supplies,78,2.34,3
99,Lenovo ThinkPad T14,Lenovo,Electronics,42,826.58,1332
100,Steelcase Series 1 Chair,Steelcase,Furniture,67,284.53,358
